,tig1,tig1len,tig1_freq,dir2,tig2,tig2len,tig2_freq,dir2,n_barcodes
0,tig00000002_pilon_pilon,61897591,17,f,tig00002077_pilon_pilon,70449,11,r,1
1,tig00002077_pilon_pilon,70449,11,f,tig00000002_pilon_pilon,61897591,17,r,1
2,tig00000002_pilon_pilon,61897591,17,f,tig00001047_pilon_pilon,59198,11,f,1
3,tig00001047_pilon_pilon,59198,11,r,tig00000002_pilon_pilon,61897591,17,r,1
4,tig00000002_pilon_pilon,61897591,17,f,tig00000087_pilon_pilon,81031,23,r,1
5,tig00000087_pilon_pilon,81031,23,f,tig00000002_pilon_pilon,61897591,17,r,1
6,tig00000002_pilon_pilon,61897591,12,f,tig00001327_pilon_pilon,6030370,20,r,6
7,tig00001327_pilon_pilon,6030370,20,f,tig00000002_pilon_pilon,61897591,12,r,6
8,tig00000012_pilon_pilon,77593,21,f,tig00002133_pilon_pilon,85684,17,f,1
9,tig00002133_pilon_pilon,85684,17,r,tig00000012_pilon_pilon,77593,21,r,1
10,tig00000012_pilon_pilon,77593,21,r,tig00007658_pilon_pilon,154379,41,r,1
11,tig00007658_pilon_pilon,154379,41,f,tig00000012_pilon_pilon,77593,21,f,1
12,tig00000012_pilon_pilon,77593,21,r,tig00000328_pilon_pilon,91140,35,f,1
13,tig00000328_pilon_pilon,91140,35,r,tig00000012_pilon_pilon,77593,21,f,1
14,tig00000012_pilon_pilon,77593,21,r,tig00983156_pilon_pilon,13322192,13,f,1
15,tig00983156_pilon_pilon,13322192,13,r,tig00000012_pilon_pilon,77593,21,f,1
16,tig00000012_pilon_pilon,77593,21,f,tig00983200_pilon_pilon,363072,25,f,1
17,tig00983200_pilon_pilon,363072,25,r,tig00000012_pilon_pilon,77593,21,r,1
18,tig00000012_pilon_pilon,77593,21,r,tig00000489_pilon_pilon,74963,33,r,1
19,tig00000489_pilon_pilon,74963,33,f,tig00000012_pilon_pilon,77593,21,f,1
20,tig00000012_pilon_pilon,77593,21,f,tig00000509_pilon_pilon,103571,27,r,1
21,tig00000509_pilon_pilon,103571,27,f,tig00000012_pilon_pilon,77593,21,r,1
22,tig00000012_pilon_pilon,77593,21,r,tig00000600_pilon_pilon,76899,27,f,1
23,tig00000600_pilon_pilon,76899,27,r,tig00000012_pilon_pilon,77593,21,f,1
24,tig00000012_pilon_pilon,77593,21,f,tig00000740_pilon_pilon,55960,19,f,1
25,tig00000740_pilon_pilon,55960,19,r,tig00000012_pilon_pilon,77593,21,r,1
26,tig00000012_pilon_pilon,77593,21,f,tig00001534_pilon_pilon,3058268,33,r,1
27,tig00001534_pilon_pilon,3058268,33,f,tig00000012_pilon_pilon,77593,21,r,1
